,Food Name,Water (g),Energy (kal),Protein (g),lipid (g),Carbohydrate (g),Fiber (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (µg),Cu (mg),Mn (mg),Vc (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),B6 (mg),"Folate,DFE (µg)",B12 (µg),"Va,RAE (µg)",Ve (mg),saturated (g),monounsaturated (g),polyunsaturated (g),trans (g),Cholesterol (mg),Caffeine (mg),phenolics (mg),pH,Plain Occurences,Cool Occurences,Warm Occurences,Cold Occurences,Heavy Cold Occurences,Heavy Warm Occurences,Hot Occurences,Heavy Hot Occurences,% Plain,% Cool,% Warm,% Cold,% Heavy Cold,% Heavy Warm,% Hot,% Heavy Hot,hot_cold_scale,Plain,Cold,Hot,Mode
0,Alfalfa,0.9030837004405287,0.03619909502262444,0.09225092250922509,0.006999999999999999,0.029564685492914668,0.03571428571428571,0.012024048096192385,0.09364548494983277,0.02874743326488706,0.014084507042253521,0.01311866428145498,0.0026931493014644,0.000675989473141029,0.0063613231552162855,0.00074719800747198,0.003337041156840934,0.01054481546572935,0.42061855670103093,7.45656550592797e-07,0.000825242718446602,0.029416090601559055,0.04114742014742017,0.09098748043818473,0.0,0.38640202702702703,0.0564,0.0007343081540131538,0.0008850116947973955,0.009808153477218223,0.0,0.0,0.0,0.05658682634730539,0.4834204545454544,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
1,dolichos sinensis,0.9020824989987986,0.020361990950226245,0.04059040590405904,0.003,0.07442144968906106,0.08082706766917293,0.0070140280561122245,0.051839464882943144,0.008213552361396304,0.07042253521126761,0.032796660703637445,0.014391516579700387,0.0002451106868259456,0.009669211195928755,0.005313408053134081,0.012235817575083427,0.022847100175746923,0.05360824742268041,2.2369696517783907e-06,0.00024271844660194176,0.019713781438446834,0.01474201474201474,0.11799687010954618,0.0,0.037162162162162164,0.0078000000000000005,0.003192644147883277,0.0031607560528478414,0.011990407673860911,0.0,0.0,0.0,0.005868263473053892,0.5521818181818183,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
2,hazelnuts,0.05316379655586704,0.7104072398190046,0.275830258302583,0.6075,0.17025180956264654,0.18233082706766915,0.041082164328657314,0.09531772575250837,0.048254620123203286,0.2087067861715749,0.172927847346452,0.0572294226561185,0.0,0.0623409669211196,0.016604400166044,0.12458286985539486,0.17135325131810192,0.02597938144329897,2.3972858101558424e-05,0.0005485436893203884,0.0529489630828063,0.1383292383292383,0.17683881064162754,0.0,0.0008445945945945946,0.3006,0.04750654492050317,0.7214741766230482,0.1899280575539568,0.0,0.0,0.0,0.04101796407185629,0.6315795454545458,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
3,"Beans, kidney",0.11764116940328395,0.3766968325791855,0.43505535055350547,0.0083,0.6117850953206239,0.4680451127819548,0.009018036072144289,0.11956521739130435,0.0841889117043121,0.1792573623559539,0.2426952892069171,0.11833024743309208,0.0006192269982971258,0.07099236641221375,0.00813615608136156,0.005561735261401557,0.02196836555360281,0.018556701030927835,1.972261576317948e-05,0.0010631067961165048,0.06059714663921165,0.09754299754299754,0.6165884194053208,0.0,0.0,0.0044,0.0012770576591533108,0.0010114419369113092,0.010959232613908873,0.0,0.0,0.0,0.0041017964071856285,0.5113636363636364,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
4,"Peanuts,",0.06507809371245495,0.6414027149321267,0.47601476014760147,0.4924,0.16444081965541849,0.15977443609022557,0.03206412825651303,0.07692307692307693,0.04702258726899384,0.21510883482714468,0.22420989862850327,0.05933344554788756,0.0004644202487228443,0.08320610687022902,0.01801577418015774,0.13570634037819798,0.13620386643233742,0.0,2.3861009618969504e-05,0.0006553398058252428,0.35493454919841155,0.08550368550368549,0.3755868544600939,0.0,0.0,0.1666,0.066822042015197,0.3860231367343068,0.3730935251798561,0.0,0.0,0.0,0.05339820359281437,0.7159090909090908,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
5,"Peas, green",0.7895474569483381,0.0916289592760181,0.09999999999999999,0.004,0.14731369150779894,0.10714285714285714,0.011022044088176353,0.020903010033444816,0.015092402464065707,0.04225352112676056,0.06440071556350627,0.020535263423666048,0.00012900562464523453,0.03155216284987278,0.01436031548360316,0.022513904338153506,0.04701230228470999,0.16494845360824742,9.9172321228842e-06,0.0006407766990291263,0.06147962935725842,0.04152334152334152,0.10172143974960876,0.0,0.03209459459459459,0.0026,0.0007555924483323755,0.0005531323092483723,0.004484412470023981,0.0,0.0,0.0,0.01279940119760479,0.6079545454545454,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
6,"Rice, white",0.12905486583900683,0.4072398190045249,0.12195571955719557,0.0058,0.8088490162096035,0.007518796992481203,0.004008016032064129,0.007525083612040134,0.008213552361396304,0.04481434058898848,0.06440071556350627,0.007237838747685575,2.5801124929046907e-05,0.029516539440203562,0.024076380240763803,0.02558398220244716,0.03690685413005272,0.0,2.6097979270747894e-06,0.00023300970873786408,0.04706574496249449,0.03562653562653562,0.014084507042253521,0.0,0.0003209459459459459,0.002184000000000001,0.001681459251218526,0.002860484227827296,0.003717026378896882,0.0,0.0,0.0,4.1916167664670664e-05,0.5852272727272726,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
7,vigna umbellata(Chi xiao dou),0.1261513816579896,0.004411764705882353,0.3726937269372693,0.006,0.6463451931899276,0.14473684210526316,0.03206412825651303,0.061872909698996656,0.07597535934291581,0.176696542893726,0.18187239117471676,0.07237838747685575,5.67624748439032e-05,0.055979643765903316,0.03138231631382316,0.07007786429365961,0.11599297012302284,0.05717525773195877,5.965252404742376e-06,0.0005339805825242719,0.05883218120311811,0.08657002457002455,0.17234428794992177,0.06632000000000002,0.005489864864864865,0.2872,0.004497690654066365,0.007255199443706933,0.03156450839328536,5.11737089201878e-06,0.04150452488687782,0.0,0.19130067619760477,0.522056818181818,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
8,"ginkgo nuts, dried",0.12414897877452945,0.3936651583710407,0.19095940959409594,0.02,0.7386074013660924,0.17481203007518797,0.030060120240480964,0.016722408026755852,0.01642710472279261,0.0678617157490397,0.16040548598688134,0.08399259383942097,0.00033541462407760976,0.017048346055979647,0.12021585720215858,0.048943270300333706,0.17750439367311072,0.12082474226804124,1.6031615837745135e-05,0.0008543689320388349,0.34510957493749084,0.1574938574938575,0.16588419405320814,0.0,0.0464527027027027,0.0,0.004054658067811762,0.011678993615272772,0.017673860911270982,0.0,0.0,0.0,0.027275449101796405,0.5588749999999996,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
9,Butter fish,0.7288746495794954,0.1583710407239819,0.3413284132841328,0.073,0.0,0.0,0.014028056112224449,0.038461538461538464,0.011293634496919919,0.0499359795134443,0.09242695289206918,0.0276047803400101,0.0016125703080654317,0.020356234096692113,0.22573682025736821,0.01446051167964405,0.005272407732864675,0.007562886597938143,1.491313101185594e-06,0.0003398058252427185,0.061773790263274016,0.03683046683046685,0.026294209702660384,0.109455,0.02027027027027027,0.0252,0.03299065619479386,0.022125292369934886,0.007194244604316546,0.0013330868544600934,0.08710407239819004,0.0,0.0,0.5704431818181821,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
